epoch,train_loss,val_loss,lr,guard_status
188,0.29626175,0.2767148,1.5115293495314708e-05,ok - 5
189,0.29621647,0.27665201,1.496414056036156e-05,ok - 6
190,0.29616545,0.27677851,1.4814499154757945e-05,ok - 7
191,0.29612065,0.27648346,1.4666354163210365e-05,ok - 8
192,0.29606194,0.27661877,1.4519690621578262e-05,ok
193,0.2960216,0.27653577,1.437449371536248e-05,ok - 1
194,0.295966,0.27651763,1.4230748778208856e-05,ok - 2
195,0.295927,0.27643165,1.4088441290426767e-05,ok - 3
196,0.29586451,0.27649575,1.39475568775225e-05,ok - 4
197,0.2958296,0.27632835,1.3808081308747274e-05,ok - 5
198,0.29577191,0.27634885,1.36700004956598e-05,ok
199,0.29573993,0.27626871,1.3533300490703203e-05,ok - 1
200,0.2956898,0.27633103,1.3397967485796171e-05,ok - 2
201,0.29564191,0.27633959,1.326398781093821e-05,ok - 3
202,0.29559685,0.27613194,1.3131347932828827e-05,ok - 4
203,0.29554867,0.27631072,1.300003445350054e-05,ok
204,0.2955064,0.27615832,1.2870034108965534e-05,ok - 1
205,0.29546124,0.27585292,1.2741333767875878e-05,ok - 2
206,0.29541842,0.27600779,1.261392043019712e-05,ok
207,0.29537258,0.27600759,1.248778122589515e-05,ok - 1
208,0.29532799,0.27613748,1.2362903413636198e-05,ok - 2
209,0.29527866,0.27606067,1.2239274379499836e-05,ok - 3
210,0.29524904,0.27594132,1.2116881635704838e-05,ok - 4
211,0.29520716,0.27609922,1.199571281934779e-05,ok - 5
212,0.29516034,0.27578723,1.1875755691154312e-05,ok - 6
213,0.29511733,0.27596211,1.1756998134242768e-05,ok - 7
214,0.29507421,0.27569411,1.163942815290034e-05,ok - 8
215,0.29504256,0.27586495,1.1523033871371338e-05,ok
216,0.29499305,0.27565677,1.1407803532657624e-05,ok - 1
217,0.29496211,0.27575059,1.1293725497331048e-05,ok - 2
218,0.29492207,0.27569894,1.1180788242357738e-05,ok - 3
219,0.29487254,0.27568985,1.106898035993416e-05,ok - 4
220,0.29483965,0.27561241,1.0958290556334818e-05,ok - 5
221,0.2947922,0.27567849,1.084870765077147e-05,ok - 6
222,0.29475314,0.27558215,1.0740220574263756e-05,ok - 7
223,0.29471616,0.27564262,1.0632818368521118e-05,ok
224,0.29467821,0.27563836,1.0526490184835907e-05,ok - 1
225,0.29464532,0.27549339,1.0421225282987548e-05,ok - 2
226,0.29459592,0.27541375,1.0317013030157671e-05,ok - 3
227,0.2945644,0.27557747,1.0213842899856094e-05,ok
228,0.29453235,0.27545335,1.0111704470857532e-05,ok - 1
229,0.29448847,0.27539477,1.0010587426148957e-05,ok - 2
230,0.29445428,0.27514578,9.910481551887467e-06,ok - 3
231,0.29440915,0.27539948,9.811376736368592e-06,ok
232,0.29437949,0.27542001,9.713262969004906e-06,ok - 1
233,0.29433885,0.27538474,9.616130339314856e-06,ok - 2
234,0.29430853,0.27518996,9.519969035921707e-06,ok - 3
235,0.29427068,0.27519752,9.42476934556249e-06,ok - 4
236,0.29423,0.27515371,9.330521652106865e-06,ok - 5
237,0.29419498,0.27517667,9.237216435585796e-06,ok - 6
238,0.29416622,0.27519463,9.144844271229938e-06,ok - 7
239,0.2941297,0.27510479,9.053395828517639e-06,ok - 8
240,0.29409038,0.27512039,8.962861870232463e-06,ok - 9
